0.215721, -0.286626 
0.00213295, -0.158565 
-0.119831, 0.0311899 
0.550979, -0.0301922 
0.179272, -0.0346885 
0.540786, -0.233066 
0.536761, -0.0764911 
0.173813, -0.110982 
0.230005, -0.148793 
0.889793, 0.0916714 
0.895188, -0.017795 
0.931835, 0.843747 
0.64273, 0.658144 
0.739411, 0.727233 
1.08822, 1.15936 
1.06222, 1.08253 
0.986225, 1.86948 
1.27988, 1.50519 
1.34576, 2.10183 
1.38012, 2.00721 
1.43963, 2.57184 
1.17742, 2.58782 
1.62062, 3.35664 
1.20693, 3.84605 
1.61805, 4.61274 
1.77334, 4.55383 
1.65765, 5.80236 
1.62628, 6.19761 
2.00532, 7.36049 
2.23626, 7.87348 
